Category,Graph,Nodes,Edges,Base_Natural,Base_RCM,Base_MinDegree
Real_SuiteSparse,494_bus,494,586,5601,868,332
Real_SuiteSparse,bcsstk02,66,2145,0,0,0
Real_SuiteSparse,bcsstk03,112,264,8,8,8
Real_SuiteSparse,bcsstk04,132,1758,1873,1674,1253
Real_SuiteSparse,bcsstk05,153,1135,1304,1095,1197
Real_SuiteSparse,bcsstk06,420,3720,10142,7896,7276
Real_SuiteSparse,bcsstk07,420,3720,10142,7896,7276
Real_SuiteSparse,bcsstk20,485,1325,2617,833,410
Real_SuiteSparse,bcsstk22,138,279,948,538,265
Real_SuiteSparse,bcsstm02,66,0,0,0,0
Real_SuiteSparse,bcsstm05,153,0,0,0,0
Real_SuiteSparse,bcsstm06,420,0,0,0,0
Real_SuiteSparse,bcsstm07,420,3416,10446,9015,7194
Real_SuiteSparse,bcsstm20,485,0,0,0,0
Real_SuiteSparse,bcsstm22,138,0,0,0,0
Real_SuiteSparse,Journals,124,5972,1654,1147,677
Real_SuiteSparse,lund_a,147,1151,1719,1152,1042
Real_SuiteSparse,lund_b,147,1147,1723,1152,1052
Real_SuiteSparse,mesh2e1,306,856,10939,8422,2150
Real_SuiteSparse,mesh2em5,306,856,10939,8422,2150
Real_SuiteSparse,mesh3e1,289,800,10220,2630,2338
Real_SuiteSparse,mesh3em5,289,800,10220,2630,2338
Real_SuiteSparse,mhdb416,416,948,96,0,0
Real_SuiteSparse,nos1,237,390,78,77,77
Real_SuiteSparse,nos4,100,247,458,517,290
Real_SuiteSparse,nos5,468,2352,24916,22204,15647
Real_SuiteSparse,plat362,362,2712,41896,8189,5514
Real_SuiteSparse,Trefethen_150,150,945,7332,6250,4917
Real_SuiteSparse,Trefethen_200,200,1345,13332,10872,7434
Real_SuiteSparse,Trefethen_200b,199,1337,13212,10815,7185
Real_SuiteSparse,Trefethen_300,300,2189,30920,25902,18147
Real_SuiteSparse,Trefethen_500,500,3989,80320,63318,51107
synthetic_barabasi,Barabasi_N100_m2_I0,100,196,4042,608,120
synthetic_barabasi,Barabasi_N100_m2_I1,100,196,3837,615,190
synthetic_barabasi,Barabasi_N100_m2_I2,100,196,3894,629,164
synthetic_barabasi,Barabasi_N100_m2_I3,100,196,3845,542,183
synthetic_barabasi,Barabasi_N100_m2_I4,100,196,3571,887,190
synthetic_barabasi,Barabasi_N200_m2_I0,200,396,16299,2163,406
synthetic_barabasi,Barabasi_N200_m2_I1,200,396,16305,2396,486
synthetic_barabasi,Barabasi_N200_m2_I2,200,396,16052,2592,467
synthetic_barabasi,Barabasi_N200_m2_I3,200,396,16001,1560,534
synthetic_barabasi,Barabasi_N200_m2_I4,200,396,15930,2466,464
synthetic_barabasi,Barabasi_N300_m2_I0,300,596,37026,4406,865
synthetic_barabasi,Barabasi_N300_m2_I1,300,596,36718,5446,890
synthetic_barabasi,Barabasi_N300_m2_I2,300,596,36713,4887,903
synthetic_barabasi,Barabasi_N300_m2_I3,300,596,35751,6803,989
synthetic_barabasi,Barabasi_N300_m2_I4,300,596,36200,4389,904
synthetic_grid,Grid_12x12_N144,144,264,1331,946,618
synthetic_grid,Grid_15x15_N225,225,420,2744,1925,1188
synthetic_grid,Grid_8x8_N64,64,112,343,252,183
synthetic_smallworld,WattsStrogatz_N100_k4_p01_I0,100,200,885,503,262
synthetic_smallworld,WattsStrogatz_N100_k4_p01_I1,100,200,542,648,206
synthetic_smallworld,WattsStrogatz_N100_k4_p01_I2,100,200,568,511,217
synthetic_smallworld,WattsStrogatz_N100_k4_p01_I3,100,200,811,660,243
synthetic_smallworld,WattsStrogatz_N100_k4_p01_I4,100,200,768,578,252
synthetic_smallworld,WattsStrogatz_N200_k4_p01_I0,200,400,2808,2618,765
synthetic_smallworld,WattsStrogatz_N200_k4_p01_I1,200,400,2826,3397,685
synthetic_smallworld,WattsStrogatz_N200_k4_p01_I2,200,400,2406,2250,542
synthetic_smallworld,WattsStrogatz_N200_k4_p01_I3,200,400,3234,2009,608
synthetic_smallworld,WattsStrogatz_N200_k4_p01_I4,200,400,2450,3041,685
synthetic_smallworld,WattsStrogatz_N300_k4_p01_I0,300,600,5244,4644,1168
synthetic_smallworld,WattsStrogatz_N300_k4_p01_I1,300,600,6613,5824,1366
synthetic_smallworld,WattsStrogatz_N300_k4_p01_I2,300,600,5159,3681,959
synthetic_smallworld,WattsStrogatz_N300_k4_p01_I3,300,600,6123,4783,1251
synthetic_smallworld,WattsStrogatz_N300_k4_p01_I4,300,600,5008,3958,988
