Category,Graph,Nodes,Edges,Replica,Best_FillIn,Gen_Found,Time_Total_s,Pop_Size,Generations
Real_SuiteSparse,494_bus,494,586,0,1395.0,99,39.9519,50,100
Real_SuiteSparse,494_bus,494,586,1,1261.0,99,34.2425,50,100
Real_SuiteSparse,494_bus,494,586,2,1254.0,99,39.8693,50,100
Real_SuiteSparse,494_bus,494,586,3,1283.0,99,34.1876,50,100
Real_SuiteSparse,494_bus,494,586,4,926.0,99,31.8757,50,100
Real_SuiteSparse,494_bus,494,586,5,1339.0,99,39.7976,50,100
Real_SuiteSparse,494_bus,494,586,6,1096.0,99,34.8445,50,100
Real_SuiteSparse,494_bus,494,586,7,957.0,99,30.0386,50,100
Real_SuiteSparse,494_bus,494,586,8,1230.0,99,38.4979,50,100
Real_SuiteSparse,494_bus,494,586,9,899.0,98,28.7701,50,100
Real_SuiteSparse,494_bus,494,586,10,1370.0,99,48.4152,50,100
Real_SuiteSparse,494_bus,494,586,11,921.0,99,36.2019,50,100
Real_SuiteSparse,494_bus,494,586,12,1169.0,98,43.154,50,100
Real_SuiteSparse,494_bus,494,586,13,1343.0,99,41.7983,50,100
Real_SuiteSparse,494_bus,494,586,14,1177.0,99,38.1618,50,100
Real_SuiteSparse,494_bus,494,586,15,1076.0,99,35.6472,50,100
Real_SuiteSparse,494_bus,494,586,16,1041.0,99,36.8581,50,100
Real_SuiteSparse,494_bus,494,586,17,1151.0,99,37.628,50,100
Real_SuiteSparse,494_bus,494,586,18,1307.0,98,36.869,50,100
Real_SuiteSparse,494_bus,494,586,19,972.0,99,33.1705,50,100
Real_SuiteSparse,494_bus,494,586,20,1469.0,99,43.1468,50,100
Real_SuiteSparse,494_bus,494,586,21,1199.0,98,37.5771,50,100
Real_SuiteSparse,494_bus,494,586,22,886.0,98,31.4063,50,100
Real_SuiteSparse,494_bus,494,586,23,1271.0,99,41.7802,50,100
Real_SuiteSparse,494_bus,494,586,24,1276.0,99,37.2928,50,100
Real_SuiteSparse,494_bus,494,586,25,1145.0,99,35.6832,50,100
Real_SuiteSparse,494_bus,494,586,26,1062.0,99,36.7323,50,100
Real_SuiteSparse,494_bus,494,586,27,1095.0,98,37.4195,50,100
Real_SuiteSparse,494_bus,494,586,28,1226.0,99,36.3831,50,100
Real_SuiteSparse,494_bus,494,586,29,1317.0,99,40.7517,50,100
Real_SuiteSparse,Journals,124,5972,0,1149.0,92,415.641,50,100
Real_SuiteSparse,Journals,124,5972,1,1087.0,98,474.9351,50,100
Real_SuiteSparse,Journals,124,5972,2,982.0,88,463.3485,50,100
Real_SuiteSparse,Journals,124,5972,3,1075.0,87,454.3647,50,100
Real_SuiteSparse,Journals,124,5972,4,1044.0,88,418.9525,50,100
Real_SuiteSparse,Journals,124,5972,5,857.0,94,410.3002,50,100
Real_SuiteSparse,Journals,124,5972,6,890.0,86,452.4527,50,100
Real_SuiteSparse,Journals,124,5972,7,1058.0,98,464.4017,50,100
Real_SuiteSparse,Journals,124,5972,8,1069.0,94,474.7158,50,100
Real_SuiteSparse,Journals,124,5972,9,968.0,99,446.5655,50,100
Real_SuiteSparse,Journals,124,5972,10,934.0,93,442.7525,50,100
Real_SuiteSparse,Journals,124,5972,11,1000.0,94,448.8003,50,100
Real_SuiteSparse,Journals,124,5972,12,984.0,98,459.0539,50,100
Real_SuiteSparse,Journals,124,5972,13,1010.0,86,440.8775,50,100
Real_SuiteSparse,Journals,124,5972,14,943.0,96,393.3608,50,100
Real_SuiteSparse,Journals,124,5972,15,991.0,93,473.7915,50,100
Real_SuiteSparse,Journals,124,5972,16,990.0,97,491.8484,50,100
Real_SuiteSparse,Journals,124,5972,17,935.0,99,457.663,50,100
Real_SuiteSparse,Journals,124,5972,18,958.0,98,447.0362,50,100
Real_SuiteSparse,Journals,124,5972,19,824.0,98,441.6951,50,100
Real_SuiteSparse,Journals,124,5972,20,906.0,97,445.1679,50,100
Real_SuiteSparse,Journals,124,5972,21,993.0,96,441.3845,50,100
Real_SuiteSparse,Journals,124,5972,22,919.0,95,461.8049,50,100
Real_SuiteSparse,Journals,124,5972,23,919.0,97,453.0698,50,100
Real_SuiteSparse,Journals,124,5972,24,874.0,92,454.0341,50,100
Real_SuiteSparse,Journals,124,5972,25,1000.0,94,460.6378,50,100
Real_SuiteSparse,Journals,124,5972,26,862.0,94,382.9058,50,100
Real_SuiteSparse,Journals,124,5972,27,921.0,87,391.3978,50,100
Real_SuiteSparse,Journals,124,5972,28,866.0,98,266.5382,50,100
Real_SuiteSparse,Journals,124,5972,29,992.0,97,258.4876,50,100
